Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000714	VCCF:1000705
VCCF:1000715	VCCF:1000714
VCCF:1000716	VCCF:1000705
VCCF:1000717	VCCF:1000716
VCCF:1000718	VCCF:1000717
VCCF:1000719	VCCF:1000718
VCCF:1000720	VCCF:1000717
VCCF:1000721	VCCF:1000717
VCCF:1000722	VCCF:1000717
VCCF:1000723	VCCF:1000716
VCCF:1000724	VCCF:1000716
VCCF:1000725	VCCF:1000716
VCCF:1000726	VCCF:1000725
VCCF:1000727	VCCF:1000726
VCCF:1000728	VCCF:1000727
VCCF:1000729	VCCF:1000727
VCCF:1000730	VCCF:1000726
VCCF:1000731	VCCF:1000716
VCCF:1000732	VCCF:1000731
VCCF:1000733	VCCF:1000705
VCCF:1000734	VCCF:1000733
VCCF:1000735	VCCF:1000733
VCCF:1000736	VCCF:1000733
VCCF:1000719	VCCF:1000736
VCCF:1000737	VCCF:1000719
VCCF:1000738	VCCF:1000737
VCCF:1000739	VCCF:1000738
VCCF:1000740	VCCF:1000719
VCCF:1000741	VCCF:1000733
VCCF:1000742	VCCF:1000733
VCCF:1000719	VCCF:1000742
VCCF:1000743	VCCF:1000733
VCCF:1000744	VCCF:1000733
VCCF:1000719	VCCF:1000744
VCCF:1000745	VCCF:1000733
VCCF:1000746	VCCF:1000745
VCCF:1000747	VCCF:1000705
VCCF:1000748	VCCF:1000705
VCCF:1000749	VCCF:1000701
